Line,Purpose,Trait,Field_experiment
2MS16_4129-001,Experimental,HD_DON_no_corr,FHB
2MS16_4129-002,Experimental,HD_DON_no_corr,FHB
2MS16_4129-003,Experimental,HD_DON_no_corr,FHB
2MS16_4129-004,Experimental,HD_DON_no_corr,FHB
2MS16_4129-005,Experimental,HD_DON_no_corr,FHB
2MS16_4129-006,Experimental,HD_DON_no_corr,FHB
2MS16_4129-007,Experimental,HD_DON_no_corr,FHB
2MS16_4129-008,Experimental,HD_DON_no_corr,FHB
2MS16_4129-009,Experimental,HD_DON_no_corr,FHB
2MS16_4129-010,Experimental,HD_DON_no_corr,FHB
2MS16_4129-011,Experimental,HD_DON_no_corr,FHB
2MS16_4129-012,Experimental,HD_DON_no_corr,FHB
2MS16_4129-013,Experimental,HD_DON_no_corr,FHB
2MS16_4129-014,Experimental,HD_DON_no_corr,FHB
2MS16_4129-015,Experimental,HD_DON_no_corr,FHB
2MS16_4129-016,Experimental,HD_DON_no_corr,FHB
2MS16_4129-017,Experimental,HD_DON_no_corr,FHB
2MS16_4129-018,Experimental,HD_DON_no_corr,FHB
2MS16_4129-019,Experimental,HD_DON_no_corr,FHB
2MS16_4129-020,Experimental,HD_DON_no_corr,FHB
2MS16_4129-021,Experimental,HD_DON_no_corr,FHB
2MS16_4129-022,Experimental,HD_DON_no_corr,FHB
2MS16_4129-023,Experimental,HD_DON_no_corr,FHB
2MS16_4129-024,Experimental,HD_DON_no_corr,FHB
2MS16_4129-025,Experimental,HD_DON_no_corr,FHB
2MS16_4129-026,Experimental,HD_DON_no_corr,FHB
2MS16_4129-027,Experimental,HD_DON_no_corr,FHB
2MS16_4129-028,Experimental,HD_DON_no_corr,FHB
2MS16_4129-029,Experimental,HD_DON_no_corr,FHB
2MS16_4129-030,Experimental,HD_DON_no_corr,FHB
2MS16_4129-031,Experimental,HD_DON_no_corr,FHB
2MS16_4129-032,Experimental,HD_DON_no_corr,FHB
2MS16_4129-033,Experimental,HD_DON_no_corr,FHB
2MS16_4129-034,Experimental,HD_DON_no_corr,FHB
2MS16_4129-035,Experimental,HD_DON_no_corr,FHB
2MS16_4129-036,Experimental,HD_DON_no_corr,FHB
2MS16_4129-037,Experimental,HD_DON_no_corr,FHB
2MS16_4129-038,Experimental,HD_DON_no_corr,FHB
2MS16_4129-039,Experimental,HD_DON_no_corr,FHB
2MS16_4129-040,Experimental,HD_DON_no_corr,FHB
2MS16_4129-041,Experimental,HD_DON_no_corr,FHB
2MS16_4129-042,Experimental,HD_DON_no_corr,FHB
2MS16_4129-043,Experimental,HD_DON_no_corr,FHB
2MS16_4129-044,Experimental,HD_DON_no_corr,FHB
2MS16_4129-045,Experimental,HD_DON_no_corr,FHB
2MS16_4129-046,Experimental,HD_DON_no_corr,FHB
2MS16_4129-047,Experimental,HD_DON_no_corr,FHB
2MS16_4129-048,Experimental,HD_DON_no_corr,FHB
2MS16_4129-049,Experimental,HD_DON_no_corr,FHB
2MS16_4129-050,Experimental,HD_DON_no_corr,FHB
2MS16_4129-051,Experimental,HD_DON_no_corr,FHB
2MS16_4129-052,Experimental,HD_DON_no_corr,FHB
2MS16_4129-053,Experimental,HD_DON_no_corr,FHB
2MS16_4129-054,Experimental,HD_DON_no_corr,FHB
2MS16_4129-055,Experimental,HD_DON_no_corr,FHB
2MS16_4129-056,Experimental,HD_DON_no_corr,FHB
2MS16_4129-057,Experimental,HD_DON_no_corr,FHB
